SKI RESORT,TOWN,STATE SHORT,COUNTY
Standing Rocks , Stevens Point,WI,Oconto
Mont Du Lac , Superior,WI,Portage
Ausblick Ski Club , Sussex (private),WI,Waukesha
Fox Hill Ski Area , West Bend (private),WI,Washington
Christmas Mountain Village , Wisconsin Dells,WI,Columbia
Grand Targhee , Alta,WY,Teton
Hogadon , Casper,WY,Natrona
Snowy Range , Centennial,WY,Albany
Sleeping Giant Ski Area & Zipline , Cody,WY,Laramie
Pine Creek , Cokeville,WY,Park
Snow King Mountain , Jackson,WY,Teton
White Pine , Pinedale,WY,Sublette
Antelope Butte Mountain Recreational Area , Shell,WY,Big Horn
Meadowlark Ski Lodge , Ten Sleep,WY,Washakie
Jackson Hole , Teton Village[3],WY,Teton
Alyeska , Girdwood,AK,
China Peak , Lakeshore,CA,
Mount Baldy Ski Lifts , Mount Baldy,CA,
Donner Ski Ranch , Norden,CA,
Sugar Bowl , Norden,CA,
Squaw Valley , Olympic Valley,CA,
Beaver Creek Resort , Beaver Creek,CO,
Hesperus Ski Area , Hesperus,CO,
Powderhorn Resort , Mesa,CO,
Chapman Hill Ski Area,,CO,
Cranor Ski Area,,CO,
Lake City Ski Hill,,CO,
Mohawk Mountain Ski Area , Cornwall,CT,
Powder Ridge Ski Area , Middlefield,CT,
Lost Trail Powder Mountain , North Fork,ID,
Blandford Ski Area , Blandford,MA,
Blue Hills Ski Area , Canton,MA,
Berkshire East Ski Resort , Charlemont,MA,
Butternut , Great Barrington,MA,
Jiminy Peak , Hancock,MA,
Otis Ridge , Otis,MA,
Wachusett Mountain , Princeton,MA,
Ski Ward , Shrewsbury,MA,
Mount Greylock Ski Club , Williamstown,MA,
Wisp Ski Resort , McHenry,MD,
Baker Mountain , Bingham,ME,
Shawnee Peak , Bridgton,ME,
Camden Snow Bowl , Camden,ME,
Sugarloaf , Carrabassett Valley,ME,
Titcomb Mountain , Farmington,ME,
Lonesome Pine Trails , Fort Kent,ME,
Big Squaw , Greenville,ME,
Mount Abram , Greenwood,ME,
Hermon Mountain , Hermon,ME,
Mount Jefferson Ski Area , Lee,ME,
Big Rock , Mars Hill,ME,
Sunday River , Newry,ME,
Pinnacle Ski Club , Pittsfield,ME,
Saddleback Maine , Rangeley,ME,
Black Mountain of Maine , Rumford,ME,
Eaton Mountain , Skowhegan,ME,
Powderhouse Hill , South Berwick,ME,
Cannonsburg Ski Area , Cannonsburg,MI,
Swiss Valley Ski and Snowboard Area , Jones,MI,
Mount Bohemia , Lac La Belle,MI,
Porcupine Mountains , Silver City,MI,
Alpine Valley , White Lake,MI,
Welch Village , Welch,MN,
Maverick Mountain , Polaris,MT,
Sapphire Valley , Sapphire,NC,
Huff Hills , Huff,ND,
Attitash , Bartlett,NH,
Crotched Mountain , Bennington,NH,
Bretton Woods , Bretton Woods,NH,
Ragged Mountain , Danbury,NH,
The Balsams Wilderness , Dixville Notch,NH,
King Pine , East Madison,NH,
Whaleback , Enfield,NH,
Cannon Mountain , Franconia Notch,NH,
Gunstock Mountain Resort , Gilford,NH,
Pats Peak , Henniker,NH,
Granite Gorge , Keene,NH,
Mount Prospect , Lancaster,NH,
Storrs Hill , Lebanon,NH,
Kanc Rec Area , Lincoln,NH,
Loon Mountain , Lincoln,NH,
Mount Eustis, Littleton,NH,
Dartmouth Skiway , Lyme,NH,
Red Hill Ski Club , Moultonborough,NH,
Wildcat Mountain , Pinkham Notch,NH,
Tenney Mountain Ski Resort , Plymouth,NH,
Mount Sunapee Resort , Sunapee,NH,
Campton Mountain , Waterville,NH,
Waterville Valley Resort , Waterville Valley,NH,
Abenaki Ski Area , Wolfeboro,NH,
Campgaw Mountain , Mahwah,NJ,
Peek'n Peak , Clymer,NY,
Buffalo Ski Club , Colden,NY,
Kissing Bridge , Colden,NY,
Holiday Valley , Ellicottville,NY,
